LAT,LON,X,Y,L,W,D,SLIP,RAKE,STRIKE,DIP
38.9853,141.6148,-73.3207,70.4952,25,20,44.7714,0.8561,106.635,194,10.21
38.7674,141.5433,-79.5506,46.2839,25,20,44.7714,7.06,89.5332,194,10.21
38.5495,141.4718,-85.7805,22.0726,25,20,44.7714,11.4761,97.3764,194,10.21
38.3317,141.4004,-92.0105,-2.1388,25,20,44.7714,4.3981,91.6733,194,10.21
38.1138,141.3289,-98.2404,-26.3501,25,20,44.7714,0.3598,129.8396,194,10.21
37.8959,141.2574,-104.4703,-50.5614,25,20,44.7714,3.1012,64.9504,194,10.21
37.678,141.1859,-110.7002,-74.7727,25,20,44.7714,0.0697,87.6901,194,10.21
37.4601,141.1144,-116.9301,-98.984,25,20,44.7714,1.1896,109.7542,194,10.21
37.2422,141.0429,-123.1601,-123.1954,25,20,44.7714,0.8605,79.2514,194,10.21
37.0243,140.9714,-129.39,-147.4067,25,20,44.7714,1.5622,55.8578,194,10.21
36.8065,140.8999,-135.6199,-171.618,25,20,44.7714,0.4345,50.1258,194,10.21
36.5886,140.8284,-141.8498,-195.8293,25,20,44.7714,4.4108,124.394,194,10.21
36.3707,140.7569,-148.0797,-220.0406,25,20,44.7714,2.3795,121.3603,194,10.21
36.1528,140.6854,-154.3097,-244.252,25,20,44.7714,1.1976,63.1141,194,10.21
35.9349,140.614,-160.5396,-268.4633,25,20,44.7714,1.0574,106.4313,194,10.21
35.717,140.5425,-166.7695,-292.6746,25,20,44.7714,0.336,93.5899,194,10.21
40.9904,142.0395,-36.3138,293.3021,25,20,48.3165,9.2682,55.8124,194,10.21
40.7725,141.968,-42.5437,269.0908,25,20,48.3165,5.5754,52.2379,194,10.21
